dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,transaction_type,payment_instrument_type,transaction_count,transaction_amount
aggregated,insurance,,india,state,bihar,2022,4,1664562600000,1672165800000,True,SUCCESS,1692611340593,data\aggregated\insurance\country\india\state\bihar\2022\4.json,Insurance,TOTAL,33895,43914519.0
aggregated,insurance,,india,state,bihar,2023,1,1672511400000,1679941800000,True,SUCCESS,1692619185769,data\aggregated\insurance\country\india\state\bihar\2023\1.json,Insurance,TOTAL,26929,38746711.0
aggregated,insurance,,india,state,bihar,2023,2,1680287400000,1687890600000,True,SUCCESS,1692619367256,data\aggregated\insurance\country\india\state\bihar\2023\2.json,Insurance,TOTAL,29212,40354886.0
aggregated,insurance,,india,state,bihar,2023,3,1688149800000,1695839400000,True,SUCCESS,1697612209493,data\aggregated\insurance\country\india\state\bihar\2023\3.json,Insurance,TOTAL,36550,45832355.0
aggregated,insurance,,india,state,bihar,2023,4,1696098600000,1703701800000,True,SUCCESS,1706092864097,data\aggregated\insurance\country\india\state\bihar\2023\4.json,Insurance,TOTAL,41447,57624322.0
aggregated,insurance,,india,state,bihar,2024,1,1704047400000,1711564200000,True,SUCCESS,1714727748156,data\aggregated\insurance\country\india\state\bihar\2024\1.json,Insurance,TOTAL,51592,63844442.0
aggregated,insurance,,india,state,bihar,2024,2,1711909800000,1719513000000,True,SUCCESS,1722517876938,data\aggregated\insurance\country\india\state\bihar\2024\2.json,Insurance,TOTAL,49101,65285065.0
aggregated,insurance,,india,state,bihar,2024,3,1719792000000,1727481600000,True,SUCCESS,1739974403002,data\aggregated\insurance\country\india\state\bihar\2024\3.json,Insurance,TOTAL,44745,62777286.0
aggregated,insurance,,india,state,bihar,2024,4,1727740800000,1735344000000,True,SUCCESS,1739974625173,data\aggregated\insurance\country\india\state\bihar\2024\4.json,Insurance,TOTAL,62662,83739800.0
aggregated,insurance,,india,state,chandigarh,2020,2,1585679400000,1593282600000,True,SUCCESS,1692610823417,data\aggregated\insurance\country\india\state\chandigarh\2020\2.json,Insurance,TOTAL,149,29537.0
aggregated,insurance,,india,state,chandigarh,2020,3,1593541800000,1601231400000,True,SUCCESS,1692610874970,data\aggregated\insurance\country\india\state\chandigarh\2020\3.json,Insurance,TOTAL,264,70969.0
aggregated,insurance,,india,state,chandigarh,2020,4,1601490600000,1609093800000,True,SUCCESS,1692610927581,data\aggregated\insurance\country\india\state\chandigarh\2020\4.json,Insurance,TOTAL,200,153341.0
aggregated,insurance,,india,state,chandigarh,2021,1,1609439400000,1616869800000,True,SUCCESS,1692610980157,data\aggregated\insurance\country\india\state\chandigarh\2021\1.json,Insurance,TOTAL,338,238576.0
aggregated,insurance,,india,state,chandigarh,2021,2,1617215400000,1624818600000,True,SUCCESS,1692611032242,data\aggregated\insurance\country\india\state\chandigarh\2021\2.json,Insurance,TOTAL,378,310943.0
aggregated,insurance,,india,state,chandigarh,2021,3,1625077800000,1632767400000,True,SUCCESS,1692611084063,data\aggregated\insurance\country\india\state\chandigarh\2021\3.json,Insurance,TOTAL,494,469634.0
aggregated,insurance,,india,state,chandigarh,2021,4,1633026600000,1640629800000,True,SUCCESS,1692611135460,data\aggregated\insurance\country\india\state\chandigarh\2021\4.json,Insurance,TOTAL,710,835813.0
aggregated,insurance,,india,state,chandigarh,2022,1,1640975400000,1648405800000,True,SUCCESS,1692611187116,data\aggregated\insurance\country\india\state\chandigarh\2022\1.json,Insurance,TOTAL,792,1150932.0
aggregated,insurance,,india,state,chandigarh,2022,2,1648751400000,1656354600000,True,SUCCESS,1692611238427,data\aggregated\insurance\country\india\state\chandigarh\2022\2.json,Insurance,TOTAL,1330,1874959.0
aggregated,insurance,,india,state,chandigarh,2022,3,1656613800000,1664303400000,True,SUCCESS,1692611290101,data\aggregated\insurance\country\india\state\chandigarh\2022\3.json,Insurance,TOTAL,1533,1998439.0
aggregated,insurance,,india,state,chandigarh,2022,4,1664562600000,1672165800000,True,SUCCESS,1692611341957,data\aggregated\insurance\country\india\state\chandigarh\2022\4.json,Insurance,TOTAL,1403,2024528.0
aggregated,insurance,,india,state,chandigarh,2023,1,1672511400000,1679941800000,True,SUCCESS,1692619187166,data\aggregated\insurance\country\india\state\chandigarh\2023\1.json,Insurance,TOTAL,1520,2415574.0
aggregated,insurance,,india,state,chandigarh,2023,2,1680287400000,1687890600000,True,SUCCESS,1692619368611,data\aggregated\insurance\country\india\state\chandigarh\2023\2.json,Insurance,TOTAL,1704,2501107.0
aggregated,insurance,,india,state,chandigarh,2023,3,1688149800000,1695839400000,True,SUCCESS,1697612212420,data\aggregated\insurance\country\india\state\chandigarh\2023\3.json,Insurance,TOTAL,1883,2660630.0
aggregated,insurance,,india,state,chandigarh,2023,4,1696098600000,1703701800000,True,SUCCESS,1706092866819,data\aggregated\insurance\country\india\state\chandigarh\2023\4.json,Insurance,TOTAL,1767,3053934.0
aggregated,insurance,,india,state,chandigarh,2024,1,1704047400000,1711564200000,True,SUCCESS,1714727750084,data\aggregated\insurance\country\india\state\chandigarh\2024\1.json,Insurance,TOTAL,1730,3143984.0
